Empty,"TB is intracellular; thereby TH1 cells mediate the response with granulomas, stimulating formation of giant cells, etc."
" highest burden of atherosclerosis development, in order: abdominal aorta > coronary arteries > popliteal > internal carotids > circle of willis",Atherosclerosis
" results from increased permeability of the microvasculature, leading to edema of the superficial dermis",Urticaria
" male; usually during sleep; located behind one eye for <1.5hrs; sweating, facial flushing, nasal congestion, papillary changes",Cluster headache
" female; stress-induced; headband pattern; dull, tight; <7 days!; associated with muscle tenderness",Tension headache
" rupture is due to chronic hypertension, involves deep brain structures (e.g. basal ganglia)",Charcot-bouchard aneurysm
 deposition of beta-amyloid results in vessel wall weakening and predisposition to rupture; causes recurrent lobar hemorrhage in occipital and parietal lobes; most common cause of hemorrhage in elderly w/o other known signs,Cerebral amyloid angiopathy
" when unphosphorylated, prevents G1/S checkpoint crossing; abnormal protein is hyperphosphorylated",Rb protein
 are DNA repair genes,BRCA1/BRCA2
 associated with Th1 activation to form non-caseating granulomas,Crohn's disease
 associated with Th2 activation,Ulcerative colitis
 will grow first (with the child) then regress by age 7,Juvenile hemangioma
Empty,*Autoimmune hemolytic anemia* can occur due to Myocplasma pneumoniae infection of EBV
" suggest hemolytic-uremic syndrome, TTP, DIC, or mechanical damage (e.g. prosthetic valve)",Schistocytes
" low hemoglobin, platelets, and no cells in bone marrow aspirate",Aplastic anemia
" e.g. from ulcerative colitis, can be visualized by plain X-ray",Toxic megacolon
" e.g. in tuberculoid leprosy, associated with increased IL-2, IFN-gamma, IL-12",Th1 activation
 most dangerous complications of second-hand smoke exposure in the newborn,Sudden infant death syndrome
" usually a cholesterol-laden blockage of the small intestine, associated with air in the biliary tree due to retrograde passage of gas through the fistula",Gallstone ileus
 can present as a wedge-shaped dark area on radiography,Renal infarction
" can result in ischemia via hyalinization of small vessels, e.g. In CNIII, where Central area is infarcted resulting in down and out; not just demyelination from sorbitol buildup in Schwann cells",Diabetic neuropathy
 not applicable in Cushing's disease or similar because it is high all the time,Night time cortisol
" typically, a reaction to foreign bodies",Granulomas
 when cholesterol debris embolizes to another area; commonly with kidney arteries and due to vascular procedures,Aetheroembolic disease
 onset is usually acute with formation of a mucus plug,Cryptogenic organizing pneumonia
 due to failure sodium potassium pump and subsequent calcium influx leading to Cellular and mitochondrial edema,Myocyte swelling in ischemia
 an autosomal recessive disorder associated with sensorineural hearing loss and congenital Long QT syndrome; associated with mutations in voltage-gated potassium channels,Jervell and Lange-Neilson syndrome
 often used to distinguish between red blood cells and other cells; reticulocytes however are stained due to ribosomal RNA present in the cell,Wright-Giemsa staining
 for bronchitis assessment; ratio of mucous gland layer two other layers excluding cartilage; chronic bronchitis is associated with values above 40%,Reid index
 aplastic anemia with short stature and no thumbs; assoc with pancytopenia due to marrow failure; AR; typical patient is around 8 yrs old,Fanconi's anemia
" in addition to ankylosing spondylitis, reactive arthritis arthritis with IBD, and psoriasis arthritis",Seronegative spondyloarthropathies
" complex seizures are associated with loss of consciousness, simple is not",Simple vs complex siezures
" can occur from tricuspid endocarditis with IV drug use, also shows up as a wedge-shaped hemorrhagic lesion",Septic emboli
 protects fatty acids (e.g. on nerves) from oxidation; can present similarly as friedreich's ataxia or Subacute combined degeneration and vitamin B12 deficiency,Vitamin E deficiency
 can present with a diffuse decrease in radioactive iodine uptake during hypothyroid stage of the illness,Subacute granulomatous thyroiditis
 secondary polycythemia vera does not present with increased counts of other cell lines,Secondary vs primary polycythemia Vera
 associated with constipation; increase luminal pressure during strange bowel movements is called pulsion,Diverticulosis
" from herpes infection, is an autoimmune response to localized infection, not systemic",Erythema multiforme
 will show a hypodense poorly delineating area for up to 1 week after an acute stroke,ischemic stroke on CT
" TNF-alpha, IL-6, IL-1 increase ESR",Pro-inflammatory cyotkines
 can only decrease with intravascular hemolysis,Haptoglobin
 tends to result in red hepatization and excitation in the lung making it look like a liver,Strep pneumoniae
 in both types bleeding time and platelet count for normal; PTT is elevated,Hemophilia
 adding thrombin will result in clotting no matter which coagulation factor is missing,Thrombin
 also known as microfold cells,M cells in Peyer's patches
" normal lifespan for trade, and elevated reticulocytes with normal mean corpuscular volume",Sickle cell
 associated with arthritis of the sacroiliac joints,Seronegative spondyloarthropathies
" often includes decrease integrin expression, which bind to fibronectin on collagen and act similarly to cadherins",Malignant tissue
" characterized by ocular motor dysfunction Ataxia and mental status changes; damage to anterior and dorsal medial thalamic nuclei, memory loss is irreversible",Wernicke encephalopathy
" not necessary for MSSA, but for MRSA, VRE, etc",Contact precautions
" tend to be more multifocal develop early p53 and late APC gene mutations, and tend to be a higher grade",Colitis associated carcinoma s
 Watershed areas include the splenic flexure and the rectosigmoid junction,Colonic ischemia
" absent gonadotropin releasing hormone secretory neurons in the hypothalamus due to defective migration; associated with hypogonadism, delayed puberty, and *anosmia*",Kallmann syndrome
 associated with desmosomal Abs holding keratinocytes together; results in weak upper layers,Pemphis diseases
" can result in prominent constipation in younger children; overall (neurologic, abdominal, anemic, renal); fatigue, constipation, lead-line in gums, wrist/foot drop due to peripheral neuropathy",Lead poisoning
" starts in the CNS, but does not continue like in periphery due to 1) persistence of myelin debris, 2) neuronal inhibitory factors, and 3) dense glial scarring",Wallerian degeneration
" Heinz bodies stain dark in supravital stains in general; associated with extravascular and intravascular hemolysis; precipitated with certain drugs (e.g. anti-malarials, TMP-SMX)",G6PD deficiency
" autosomal recessive loss of function mutation in the MTP gene for apoB; results in steatorrhea, neurological issues, clear or foamy cytoplasm on Villi tips due to accumulation",Abetalipoproteinemia
" small intestine infection with rod-shaped bacteria, PAS positive and diastasis resistant granules in distended macrophages",Whipple disease
" ingestion leads to acute tubular necrosis, typical findings include High anion gap metabolic acidosis increased osmolar Gap and calcium oxalate crystals in urine",Ethylene glycol
" typically presents with a rapidly enlarging mass, e.g. In Waldeyer's ring",Diffuse large b cell lymphoma
 the number one determinant of any plaque causing ischemic injury is the rate it includes the involved artery,Atherosclerosis
" also known as glomangioma, is a tumor of the modified smooth muscle cells of a glomus body, which shunts away blood in cold temperature to prevent heat loss; appears as bluish neoplasms around the nail bed, pads of fingers and toes, and ears",Glomus tumor
" associated with elevated chylomicrons, can manifest as acute pancreatitis and skin xanthomas from high triglycerides",Familial chylomicronemia (Type 1)
 associated with coronary artery disease and tendon xanthomas which are more related with hypercholesterolemia,Familial hypercholesterolemia and dysbetalipoproteinemia
" can often be seen as uniform, Island forming, highly eosinophilic cytoplasm with oval to round stippled nuclei",Carcinoid tumor
 consider aspiration pneumonia with dependent lung consolidation (e.g. affects lobes based on gravity),Altered mental status or elderly with dementia
" oncogene who's activity if diminished, results in increased sensitivity to mutagens",Ras
 the transcription activator that is involved in apoptosis DNA repair and cell cycle control; the mutated in EBV,C-Myc
 initiating event is a focal adherence of fibrin and platelets forming a nidus on damaged valves to which bacteria can cling to; kind of like aetherosclerosis,Infective endocarditis
" associated with chronic transmural inflammation, associated with metalloproteinase; compare with cystic medial necrosis common in Marfan syndrome where smooth muscle is replaced",Abominal aortic aneurysm
 can be associated with squamous metaplasia of the pancreatic exocrine ducts due to vitamin A deficiency,Cystic fibrosis
 required for differentiation of specialized epithelia,Vitamin A
" associated with the development of RA, nail pitting, uveitis",Psoriasis
 can present idiopathically without a vasculitis syndrome,Rapidly Progressive glomerulonephritis
 occur via immune complex deposition on skin,Osler nodes
" histologically, myxoid stroma encircling epithelium-lined glandular and cystic spaces",Fibroadenomas
" is layered ON TOP of the valvular tissue itself, does not necessarily comprise the entirety of heart valves",Endocardium
" vs bladder cancer; RCC presents with frank hematuria and paraneoplastic syndromes, while bladder is more indolent with increasing hematuria",Renal cell carcinoma
" fibrotic destruction of the epithelium of small airways, aka bronchiolitis obliterans",Chronic transplant rejection of lungs
 infective endocarditis is associated with large friable vegetations on valve cusps with destruction; rheumatic fever is associated with fibrosis with fusion of leaflets,Infective endocarditis vs rheumatic fever
" analogous to Wallerian degeneration of the axon, but at the neuronal cell body; 1) cellular edema, 2) nissl substance moves throughout cytoplasm (high protein synthesis required to regenerate the severed axon)",Axonal reaction
 -cytopenias due to type II hypersensitivity reaction; whereas glomerular issues occur due to type III,Systemic lupus erythematosis
" hyperparakeratosis, acanthosis, e.g. above epidermal basal cell layer, and a reduced or absent stratum granulosum; occasional lypmphocytic infiltrate (Munro microabscesses)",Psoriasis
 associated with tenesmus (inffective/painful straining on defecation) and small-caliber stool,Rectal adenocarcinomas
" while assoc with hematochezia, fever is uncommon",Rectosigmoid cancer
" leads 1 and V3-V6; compare to right in leads 2, 3, avF",Left ventricular heart failure
" dark, deeply pigmented lesions with a greasy surface, common in elderly; can vary in appearance from flat to wart-like; can be a sign of internal malignancy (Leser-Trelat sign)",Seborrheic keratoses
" sandpaper texture, can become elongated",Actinic keratosis
 occurs with spongiosis (edema of the epidermis),Atopic dermatitis
 V-fib is the most common cause of SCD after an acute MI,Sudden cardiac death
" occurs <6 months, histopath shows immune cell infiltrates",Acute organ rejection
" transient emotional outbursts, concerns about appearance and social acceptance, need for privacy are all normal; must be severe in terms of social/academic impairment for consideration of further evaluation",Normal adolescent behavior
 require dual independent identifiers (e.g. nurse and physician); patient alone is not an adequate substitute for all cases,Wrong-site surgery
 vs physician fatigue; there must be direct evidence of too many patients otherwise it is a case of fatigue,Excessive patient workload
" maintains normal bodyweight; compare to binge eating disorder, which has no compensatory behaviors",Bulimia nervosa
 a friend to translate is NOT enough; applies to sign language as well,Translators
 primary psychotic disorders only apply after medical causes have been ruled out (e.g. stimulant use vs. brief psychotic is always stimulant use),Primary psychotic disorders vs. medical issues
" involves leaving the bedroom after 20 minutes if one cannot fall asleep, useful to avoid association to activities other than sleep",Sleep hygiene
" stimulus control > sleep hygiene, restriction, CBT",Insomnia
" medicare also covers those who are disabled regardless of age, even though it is an entitlement",Medicaid vs medicare
" ""for those who have no hair""",Medicare
" in agoraphobia, individuals tend to avoid ANY public space (due to inability to escape); compare to social anxiety, which is associated with NEGATIVE social judgement",Agoraphobia vs. social anxiety disorder
" preparation involves planning (e.g. asking for phone # of abuse line), whereas action involves no plans, just action",Preparation vs. action
" associated with distrust for individuals, not just persecutory delusions (which point to delusion disorder)",Paranoid personality disorder
" speak in simple sentences, copy a circle, use utensils, ride a tricycle",3 year old milestones
 take steps to obtain legitimate medication history first before recommending substance abuse programs,Drug abuse
" an unexpected event that causes a patient death or serious psychological injury (e.g. wrong site, retention of foreign objects)",Sentinel event
 a medical error that is recognized before any harm comes to the patient,Near miss
" in the US, most commonly by opioid drugs and not alcohol",Drug abuse
 avoid unsafe abbreviations or trailing zeros,Medication orders
" treatment involves regular visits with the same provider to legitimize symptoms and build patient rapport, THEN referral to psychiatrist",Somatic symptom disorder
" involves description, risks/benefits, alternate treatments, and patient's understanding/preferences",Informed consent
" non-judgemental, collaborative discussion is an appropriate first response",Drug abuse
" mutation in ATP7A (not B like in Wilson's); assoc with kinky hair, hypotonia, copper transport",Menke's disease
" CGG trinucleotide repeat disease in X-chromosome FMR1 (fragile X mental retardation) gene; 2nd to Down syndrome wrt to prevalence; can present with macroorchidism (enlarged testes), mitral valve prolapse, autism, long face, large ears, neurobehavioral issues",Fragile X
 mediated by tissue factor entering maternal circulation,DIC in obstetric complications
 intense exercise does not affect hematocrit,Steroid use vs. intense exercise
" glucocerebrosidase enzyme deficiency, lysosomal storage disorder; associated with pancytopenia, hepatosplenomegaly, and pathologic fractures, also Gaucher cells",Gaucher disease
" can present with disproportionate loss of and temperature sensatioln due to damage of the ventral white commisure; commonly seen with upper extremity, lower extremity motor neuron damage signs",Syringomyelia
 associated with an OVEREXPRESSION of c-MYC,EBV
" divided into osteolytic (lucent) and osteoblastic (aka sclerotic); less aggressive cancers are osteoblastic, such as prostate, SCLC, Hodgkin's; whereas more agressive tend to be more aggressive, such as MM, NSCLC, Non-Hodgkin's, RCC, melanoma",Bone metastases
" provides same risk for cardiovascular events (MI > stroke) if patient does not have the disease, but just noncornary atherosclerosis, diabetes, or chronic kidney disease",Coronary heart disease
 droplets -> phagocytosed by macrophages -> intracellular proliferation -(2/3 wks)-> TH1 activated macrophages form epithelioid / granulomas-> Gohn -(2-4 wks)> B-cell response,TB natural history
" already clinically damaging low thiamine levels can be made lower by glucose infusion, which requires Thiamine (B1) as a cofactor",Wernicke encephalopathy
" e.g. leuprolide, when administered gives a trransient rise in LH (and testosterone), but with continued, will suppress LH release (and lower testosterone)",GnRH analogs
" most common underlying disease to infective endocarditis in developing countries, usually with mitral regurgitation",Mitral valve prolapse
 tumor cells associated with microvilli and abundant tonofilaments (+ desmosomes),Mesothelioma
" from H. ducreyi; painful, ""school of fish"" arrangement, gray-yellow exudate",Chancroid
" assoc with unilateral kidney atrophy, sometimes with contralateral enlarged kidney",Renal artery stenosis
" associated with small, platelet-initiated vegetations on heart valves (instead of large friable vegetations) that can embolize; usually with anti-phospholipid syndrome, SLE,",Non-infective thrombotic endocarditis
 break down bacterial lipid membranes similar to bile salts,Polymyxin antibiotics
" broken into hyperacute, acute, chronic; hyperacute assoc with ischemia of organ, acute is assoc with vascular damage, chronic is assoc with fibrosis and narrowing of small airways/lumen",Organ rejection
" both assoc with mutations in cardiac K+ channels, elongated QT, and unprovoked syncope; however Jarvell and Lange-Neilson ALSO assoc with sensineural deafness",Jarvell and Lange-Neilson vs. Romano-Ward syndromes
 syncope only occurs with exertion,Hypertrophic cardiomyopathy
" associated with nail clubbing, (nail clubbing also assoc with cyanotic heart diseases)",Bronchiectasis
 iron deposition; can occur with excessive intravascular hemolysis (E.g. PNH),Hemosiderosis
" AKA conjugated, should not be present within serum",Direct bilirubin
" initially ""down and out"" mydriasis due to compression of CNIII, but if continues, will eventually proceed to mid-positioned, fixed pupils",Uncal herniation
" broken down into above or below red nucleus (e.g. midbrain, tegmentum, pons); below => decerebrate / extensor posturing; above => decorticate / flexor posturing",Damage to brainstem
" WBC casts can only form in renal tubules, therefore most specific for UTI if applicable",Pylonephritis
 injury to heart rhythms most common cause of death after being struck,Lightning
 VASCULAR hypersensitivity to tobacco,Buerger's disease
 similar to VEGF as well in angiogenesis,Fibroblast growth factor 2 (FGF2)
" XXY; atrophied gonads leads to high LH, FSH; assoc with tall stature, gynecomastia; intellectual disabilities",Kleinfelter syndrome
" acute in onset, DIC common due to rapid consumption; compare to CML, which can present with bleeding due to excessive platelets too but with slower onset",Acute promyelocytic leukemia
 assume AR except for Hunter's and Fabry's which are XR,Lysosomal storage diseases
" assoc with coarse facies, aggrression, pearly skin lesions; NO clouding like in Hurler's disease; iduronate sulfatase deficiency",Hunter disease
 buildup of cerebrosidase sphingomyelin via deficiency of arylsulfatase,Metachromatic leukodystrophy
" due to buildup of heme synthesis metabolite with poor diet, leading to neuropsych disturbances, diffuse abd pain, photosensitivity; AR",Acute intermittent porphyria
 mostly made of phosphatidylcholines; neonatal respiratory distress syndrome,Surfactant
" aka tetrahydrobiopterin; useful for catecholamine (D, E, NE) synthesis; Phe metabolism in PKU",BH4
" buildup of ketoacids via alpha-ketoacid dehydrogenase deficienty; ""I love vermont maple syrup""; isoleucine, leucine, valine; assoc with hypotonia, muscle contractures, hypoglycemia",Maple syrup urine disease
 PVT TIM HALL,Essential AA's
" assoc with darkening of sclera, skin to black-brown color; due to buildup of homogentisic acid (Tyr -> Fumarate metab intermediate)",Alkaptonuria
 found in liver to maintain glycemic stability,Glucokinase
 present in the kidney for pure GLUCOneogenesis in fructose metabolism,"Fructose-1,6-bisphosphatase"
 pain can be so mild as only to be felt while walking,DVT
" dermatitis, dementia, diarrhea; B3 deficiency; dermatitis can be described as a hyperpigmented rash",Pellagra
" aka inclusion cell disease; lysosomal storage defect; assoc with skeletal issues, coarse facial features, hepatosplenomegaly; molecularly, Golgi fails to sent proteins to lysosomes",I cell disease
" Aldolase B deficiency confers liver, glycemic, NV with fructose ingestion",Fructose metabolism
" also assoc with hypotonia, hyperphagia, small hands/feet",Prader-Willi
" assoc with neuro symptoms; severe intellectual disability, siezures, ataxia",Angelman syndrome
 inverse affinity of an enzyme to substrate,Km
" should always routinely ask and advise on quality, safety, efficacy of supplements",Herbal supplements
 can occur in adults who have normal immunizations but have not had vaccination boosters,Pertussis
 by far the most common side effect is sexual dysfunction >> weight gain,SSRIs
" associated with neuroendocrine markers: neural cell adhesion molecule, neuron-specific enolase, chromogranin, neuroflaments",Small cell carcinoma of the lung (SCCL)
 H. pylori colonization in antrum = duodenal ulcers; H. pylori colonization in body = gastric ulcers,Peptic ulcer disease
 occurs with segmented viruses only; otherwise recombination occurs,Reassortment
" commonly affects children, bacterial infection due to slow blood flow in the metaphysis of long bones",Hematogenous osteomyelitis
" causes of chronic hemolytic anemia, which can result in extramedularry hematopoiesis, e.g. chipmunk facies and hepatosplenomegaly","Beta thalassemias, Sickle cell, Spherocytosis"
 does not require proof of identity if the patient has given permission to share info,HIPAA
 pre-cholesterol gallstone condition associated with gallbladder hypomotility,Biliary sludge
" similar to TSH, not thyroid hormone",hCG
" NADH is created from NAD+, not the other way around",EtOH metabolism
 often presents during early adolescence,Friedreich's ataxia
" autosomal dominant defect of LDL receptor; prevents LDL from being absorbed from serum, causing xanthomas, atherosclerosis",Familial hypercholesterolemia
" can present with MI, commonly around 20s-30s; deficiency in cystathione synthase",Homocystinuria
 bronchoconstrictors; compare with B4 which acts solely as a neutrophil chemotactic agent,"Leukotriene C4, D4, E4"
" can present as sudden agitation; ALAS mutation; *5Ps*: Painful abdomen, Port-Wine urine, Polyneuropathy, Psychological disturbance; Precipitated by drugs / starvation",Acute intermittent porphyria
 assoc with aminolevulinate synthase deficiency,X-linked sideroblastic anemia
 associated with aminolevulinate dehydratase and ferrochetolase deficiency,Lead poisoning
" carbamoyl phosphate -> ornithine -> citruline formation occurs in hepatic mitochondria, the rest of the cycle occurs in the cytoplasm",Urea cycle
" ""penis at 12 phenomenon""; where low functional testosterone presents with female genitalia despite internal male genitalia until puberty when masculinization occurs",Congentital 5-alpha reductase deficiency
 histidine and arginine,Essential AAs during growth 
 created via donation of methyl groups; e.g. from methionine,Phosphatidylcholine
 non-toxic storage and transport form of ammonia towards the liver; formed via glutamine synthase; broken down into NH3 in liver via glutaminase,Glutamate
 glycogen is stored in muscle cytoplasm,McArdle disease
" after quantifying load with ELISA, assess leukocyte count for specific treatment options",HIV
 bind to tyrosine receptor kinases,"Epidermal growth factor and platelet-derived growth factor, insulin, IGF-1"
" binds to Gs; other hormones that bind to GCPRs include FS, LSH, ACTH, TSH, hCG, PTH, alpha/beta agonists",Calcitonin
" niacin deficiency due to deficient renal tubular REABsorption of neutral amino acids, which results in low tryptophan",Hartnup disease
 chorea can present as jerky rhythmic movements that slowly get worse,Huntington's disease
" breast, brain, bone, adrenal, and SOFT TISSUE; chromosome 17; diagnosis by cancer age <45 with relatives with cancer age <45",Li Fraumeni syndrome
 Factor V Leiden >>> Protein S def ~ Prothrombin mut; in terms of prevalence,"Factor V Leiden, Protein S Deficiency, Prothrombin Gene Mutation"
 erythroid aplasia -> isolated macrocytic anemia,Diamond-Blackfan anemia
" trisomy 18; presents w/ clenched hands at birth, rocker-bottom feet, prominent occiput, low-set ears, intellectual disability, heart defects",Edwards syndrome
" inhibits bacterial 50s peptidyltransferase, which binds tRNA to DNA; compare to clindamycin, which inhibits bacterial 50s ribosome translocation",Chloramphenicol
 RNA pol I synthesizes RNA; RNA pol II synthesizes mRNA,RNA polymerases
" Aldolase B deficiency; conversion of all fructose to F1P depletes hepatocellular phosphate used for glycogenolysis; results in HYPOGLYCEMIA, cirrhosis",Fructose intolerance
" HGPRT = hypoxanthine guinine phospho-ribosyl-transferase; also assoc with intellectual disability, spasticity, gout; can be *asymptomatic* based on severity of enzyme deficiency; uric acid level can only be slightly elevated in serum and urine",Lesch-Nyhan
" elevated PT AND PTT via thrombin / factor II deficiency, other factors contribute too",Vitamin K deficiency
 truncated genes (beta-thalassemia) can result in early stop codons which result in post-transcriptional changes,DNA Transcription
" first step involves pyruvate -> oxaloacetate via pyruvate carboxylase; enzyme requires ACoA activation &amp; biotin, ATP cofactors",Glyconeogenesis
 also useful for reducing iron Fe3 -> Fe2 for absorption,Vitamin C
 binds to hemoglobin to form carboxyhemoglobin,CO
" alpha-L-iduronidase deficiency; like Hunter's but with intellectual disability; think ""the ALPHA enzyme deficiency results in extra illness""",Hurler's Syndrome
 phospholipid found in the mitochondrial INNER membrane,Cardiolipin
" protein/""whey"" 4kcal/g; carb/""alcohol"" 7kcal/g; fats/""fatty acid"" 9 kcal/g",Calorie content of macronutrients
" ALAD inhibition can be through lead poisoning, ALAS can be through B6 deficiency (e.g. isoniazid)",ALAD vs ALAS in sideroblastic anemia
 alpha-ketoglutarate -> SuccCoA is thiamine/B1dependent,Krebs cycle
 NADH produced in 3 steps: 1) isocitrate to alpha-ketoglutarate 2) alpha-ketoglutarate to SuccCoA and 3) Malate to oxaloacetate,Kreb's cycle
 induces formation of methemoglobin to sequester CO from irreversibly binding to cytochromes in mitochondria,Amyl nitrate
 ammonium production (via glutamate) in the kidney is almost entirely responsible for upregulating kidney acid excretion,Acidosis
" classic presentation: older, slow European, who is ""lemon colored,"" with a broad-based gait",B12 deficiency via pernicious anemia
" assoc with hepatosplenomegaly, ICP, skin changes",Vitamin A overdose
" tyrosine receptor kinase -> phosphorlyation of proteins; compare to glucagon, which uses GCPR",Insulin
" associated with spliceosomes, like other ribo-nucleoproteins",U1 ribonucleoprotein
" synthesized from the AA arginine with NADPH and O2, can be used to regulate cardiac arterial perfusion",NO
" assoc with intellectual disability, MARFANoid habitus; compare with Marfan's, which is assoc with NO INTELLECTUAL DISABILITY, up and out lens subluxation; responds well to B6 supplementation",Homocystinuria
 associated with deficiency in ability to transport fat for oxidation from cytoplasm to mitochondria; damages heart and skeletal muscle most,Carnitine deficiency
" after poly(A) and 5' capping, some mRNA enters the CYTOPLASM to associate with P BODIES; these bodies help regulate mRNA longevity (decapping, cytoplasmic mRNA storage for later)",mRNA processing
" in the nucleus, snRNAs help with splicing (ribonucleoproteins)",mRNA processing
" associated with late heme synthesis enzyme deficiencies (after porphobilinogen); tarda = late in life, blistering due to UV exposed areas",Poryphyria cutanea tarda
" helps E.coli convert lactose -> glucose and galactose; regulated by cAMP-CAP (+) and repressor protein binding to operator locus (-); in E. coli, cAMP is increased in low glucose",_lac_ operon
 limits the formation urea in the urea cycle (Argnine to SuccCoA); treated with low-protein diet w/o Arginine,Arginase deficiency
 cofactor for reactions that add a 1C (e.g. pyruvate (3C) to oxaloacetate (4C),Vitamin B7
" cAMP, Ca2+ increased during muscle contraction activate this enzyme to break down glycogen (Glycogen -> G1P)",Phosphorylase kinase
 phe -> tyrosine -> DOPA -> melanin or catecholamines; deficiency in this pathway results in fair skin,PKU
 can present as black-blue spots on the ear,Alkaptonuria
" neutralizes reactive oxygen species, preventing cell injury",Superoxide dimutase
 occurs exclusively in the cytoplasm,"Glycolysis, fatty acid SYNTHESIS, PPP"
 occur exclusively in mitochondria,"Beta-oxidation of fatty acids, Krebs cycle, carboxylation of pyruvate (gluconeogenesis)"
 requires B6,Transaminase
 can be used for ketogenic diet (e.g. necessary in pyruvate dehydrogenase deficiency); lysine and leucine,Ketogenic AA's
" can come from tryptophan, niacine, or nicotinamide",NAD+
 can come from tyrptophan,Serotonin
" deficiency in proprionyl-CoA carboxylase (normally takes pyrimidines, AAs, lipids) into SuccCoA in krebs; presents with organic acidemia, 1-2 weeks after birth; treatment is modified diet low in Val, Iso, Met, Thr",Proprionic acidemia
 TGs -(glycerol kinase)-> G3P -> DHAP -> gluconeogenesis,Diabetic ketoacidosis
 can be due to PBG deaminase deficiency (ALA -(ALAD)-> PBG -(PBG deaminase)->>),Acute intermittent porhyria
 Asparagine and aspartate can be metabolized via transamination -> glutamate + oxaloacetate -> TCA,Transaminases
 breakdown mediated by the enzymes COMT and MAO,Catecholamines
" Tyrosine -(Tyrosine hydroxylase)-> DOPA -(DOPA decarboxylase)-> Dopamine -(Dopamine beta-hydroxylase)-> NE -(PNM)-> EPI; in short, Tyr -> DOPA -> L-DOPA -> NE -> Epi",Catecholamine synthesis
 can result in Wernicke's encephalopathy via limiting production of NADPH,Transketolase deficiency
" also provides parasympathetic innervation to lacrimal, submandibular, sublingual glands",CN VII
" dyslipidemia, hyperglycemia due to decreased insulin secretion and increased insulin resistance",Thiazides
" AKA medial calcific sclerosis; ateriosclerosis caused by calcium deposits >50 yrs, causes isolated systolic hypertension; can be visualized on larger arteries on X-ray",Monckeberg sclerosis
 occurs in adolescents and adults due to lack of heart defect repair < 1 year of life,Eisenmenger's syndrome
" gram negative, catalase (+), lactose fermenting (-) that causes pneumonia in patients with CF or CGD",Burkholderia cepacia
" AD condition caused by telangiectasias in the skin and mucosal membranes; often presents as epistaxis, GI bleeding, hematuria",Osler-Weber-Rendu syndrome
" typically present after a viral URI with a painful, tender thyroid with symptoms of hyperthyroidism",Subacute granulomatous thyroiditis
" bone abnormalities (polyostotic fibrous dysplasia), endocrine abnormalities (endocrine hyperfunction, early menarche), cafe-au-lait spots; caused by an activating mutation in the GCPR/cAMP/adenylate cyclase pathway",McCune-Albright triad
 isolated idiopathic osteonecrosis of the hip in young children,Legg-Calve-Perthnes disase
 mediates paraneoplastic cachexia by suppressing appetite and increasing BMR,TNF-alpha
 most common pituitary adenomas,Prolactinomas
" hyperpigmented, velvety plaques found on the BACK OF THE NECK or flexural areas; assoc with diabetes, obesity, skin tags",Acanthosis nigrans
 cysts can be ovaloid in shape without any other distinguishing features; use clinical presentation of steatorrhea and abdominal issues instead,Giardia
" can be split into mild, moderate, or severe; associated with precociousness, early virilization, or virilization with hypoaldosteronism respsectively",21-hydroxylase deficiency
 treatment via ACTH suppression via low doses of exogenous glucocorticoids,21-hydroxylase deficiency
" blast cells typically < 2%; can present as a metamyelocyte ""bump"" on lab report",CML / chronic myelogenous leukemia
 note which conditions are lymphoid (and are associated with lymphocytes) or myeloid (and are associated with myelocytes),Myeloid / lymphoid cancers
 associated with PML/RARA fusion gene; a retinoic acid receptor fusion that inhibits maturation from promyelocytes onwards,Acute promyelocytic leukemia
" presents around 60 yrs, associated with sheets of tumor cells with irregular nuclei, prominent nucleoli, eos cyto",Ovarian carcinoma
" histologically, looks like normal endometrium with glands and stroma",Endometriosis
" histologically, can likely see immature chorionic vili",Ectopic pregnancy
" histologically, can see different features indicative of multiple germ cell layers; e.g. hair follicle, sebaceous gland, skin, teeth, bones",Mature teratoma
" stage > grade, always!",Tumor assessment
 Kayser-Fleischer rings can be visualized via slit-lamp examination,Wilson's / Wilson disease
 associated with impaired osteoid production by osteoblasts (due to Type I collagen issues),Osteogenesis imperfecta
 can be constituitively activated by KRAS mutations; cells with KRAS are resistant to treatment with anti-EGFR drugs (e.g. cetuximab),Epidermal growth factor pathway
 mucarinic agonists for increasing trabecular outflow; prostaglandin agonists uveoscleral outflow; beta blockers / carbonic anhydrase inhibitors / alpha 2 agonists for aqueous humor INFLOW,Glaucoma
" common in African Americans and age, non-emergency; characterized by increased intraocular pressure and cup-to-disc ratio, presents with vision loss",Open-angle glaucoma
" inhibit Edinger-Westphal nucleus, limiting accommodation and pupillary constriction",Antimuscarinics
" can present with pain in affected bones (e.g. localized back pain), low grade fever, and recent bacteremia",Osteomyelitis
" histologically, full of lipid-laden macrophages (e.g. xanthelasmas of eyelid)",Xanthomas
 meconium ileus is a specific finding for cystic fibrosis; thickened (inspissated) meconium can come from abnormally viscous mucous secreted into the small bowel,Cystic fibrosis
 characterized by cellular swelling / ballooning,Hepatocyte necrosis
" can be due to viral or mitochondrial damage, characterized by shrinkage, Councilman bodies (acidophilic);",Hepatocyte apoptosis
" associated with pryuvate kinase deficiency, MAHA, mechanical damage",Burr cells
" is malignant, and will spread along the airways if not resected",Adenocarcinoma in situ
 vermis and intermediate hemispheres help with motor execution; damage results in ataxia,Cerebellum
